Source_file	Length	Area	Mean	StdDev	Scale
fam137_01_t2_20170625_gray.jpg	2.51	1.47	221	9.88	70
fam137_02_t2_20170625_gray.jpg	4.09	4.0	217	11.21	70
fam137_03_t2_20170625_gray.jpg	5.74	7.78	191	21.6	70
fam137_04_t2_20170625_gray.jpg	5.51	6.84	221	7.62	70
fam137_06_t2_20170625_gray.jpg	3.29	2.54	221	8.26	70
fam137_07_t2_20170625_gray.jpg	5.49	7.46	219	10.59	70
fam137_08_t2_20170625_gray.jpg	5.57	7.47	225	7.95	70
fam137_10_t2_20170625_gray.jpg	4.37	4.52	224	8.93	70
fam137_14_t2_20170625_gray.jpg	5.89	8.43	214	11.08	70
fam137_15_t2_20170625_gray.jpg	4.89	5.74	211	14.08	70
fam137_16_t2_20170625_gray.jpg	5.66	7.57	216	7.94	70
fam137_17_t2_20170625_gray.jpg	2.63	1.74	218	8.73	70
fam137_20_t2_20170625_gray.jpg	3.26	2.56	212	13.83	70
fam137_21_t2_20170625_gray.jpg	3.66	3.01	226	7.18	70
fam137_22_t2_20170625_gray.jpg	5.49	6.99	205	15.72	70
fam137_23_t2_20170625_gray.jpg	3.86	3.57	208	17.19	70
